timestamp,batteryVoltage,batteryCurrent,batteryCapacity,batteryTemperatureCelsius,chargeStatus,assistanceLevel,torqueCrankNm,bikeWheelSpeedKmh,cadanceRpm,engineRpm,enginePowerWatt,wheelPowerWatt,rollTorque,loadcellN,rolHz,horizontalInclination,verticalInclination,loadPower,statusPlug
2025-03-31T13:33:37.074,25.0,18,11.513388,66.0,0,4,1.3071289,22.084333,77,1432,480.0,240.0,120.0,150.0,3671.4502,50.80962,-5.6609535,25,false
2025-03-31T13:33:37.074,41.0,16,11.511744,55.0,0,4,1.4541161,24.828644,96,1493,480.0,240.0,120.0,150.0,2561.25,50.72513,1.9403839,25,false
2025-03-31T13:33:37.074,3.0,16,11.511744,55.0,0,4,1.6057551,22.759493,76,1256,480.0,240.0,120.0,150.0,2123.314,50.7445,5.4545965,25,false
2025-03-31T13:33:38.074,29.0,15,11.511744,64.0,0,4,1.4856592,23.195318,78,1082,480.0,240.0,120.0,150.0,3895.083,50.0111,-7.525872,25,false
2025-03-31T13:33:38.074,8.0,12,11.508054,61.0,0,4,1.7185423,23.858696,78,1488,480.0,240.0,120.0,150.0,2446.152,50.948627,2.9737186,25,false
2025-03-31T13:33:38.074,17.0,18,11.508054,66.0,0,4,1.8128042,20.671371,99,1444,480.0,240.0,120.0,150.0,3160.085,50.828438,-7.63371,25,false
2025-03-31T13:33:39.074,14.0,20,11.508054,69.0,0,4,1.0245059,23.194569,55,1418,480.0,240.0,120.0,150.0,3019.9797,50.593056,-7.0862207,25,false
2025-03-31T13:33:39.074,13.0,17,11.508054,63.0,0,4,1.866391,22.410423,58,1093,480.0,240.0,120.0,150.0,2903.2737,50.194374,6.447714,25,false
2025-03-31T13:33:39.074,28.0,12,11.508054,69.0,0,4,1.6517973,22.678255,83,1114,480.0,240.0,120.0,150.0,3505.7122,50.91489,-3.0768433,25,false
2025-03-31T13:33:40.074,10.0,13,11.508054,69.0,0,4,1.277621,21.399452,88,1049,480.0,240.0,120.0,150.0,3642.7583,50.1307,-5.918208,25,false
2025-03-31T13:33:40.074,4.0,19,11.508054,51.0,0,4,1.1456244,22.6112,75,1439,480.0,240.0,120.0,150.0,3789.1838,50.37461,4.8766603,25,false
2025-03-31T13:33:40.074,5.0,15,11.508054,61.0,0,4,1.142407,24.857773,91,1055,480.0,240.0,120.0,150.0,2918.3047,50.835793,-5.040654,25,false
2025-03-31T13:33:41.074,17.0,18,11.508054,55.0,0,4,1.785178,20.572826,57,1043,480.0,240.0,120.0,150.0,3469.3633,50.95983,7.6106186,25,false
2025-03-31T13:33:41.074,19.0,17,11.508054,71.0,0,4,1.3915467,24.855515,66,1168,480.0,240.0,120.0,150.0,2336.9412,50.51832,-0.9201927,25,false
2025-03-31T13:33:41.074,35.0,20,11.508054,66.0,0,4,1.1892757,20.97581,80,1000,480.0,240.0,120.0,150.0,3482.1768,50.431087,4.83508,25,false
2025-03-31T13:33:42.074,16.0,14,11.508054,53.0,0,4,1.7995603,22.906977,82,1074,480.0,240.0,120.0,150.0,3417.6238,50.033325,6.4963837,25,false
2025-03-31T13:33:42.074,26.0,12,11.501892,58.0,0,4,1.6333869,22.166733,95,1238,480.0,240.0,120.0,150.0,3857.5298,50.572983,-0.73804474,25,false
2025-03-31T13:33:42.074,25.0,17,11.501892,58.0,0,4,1.9661169,23.267986,61,1244,480.0,240.0,120.0,150.0,2612.8237,50.9727,-6.351694,25,false
2025-03-31T13:33:43.074,22.0,12,11.498737,51.0,0,4,1.6258833,24.50144,67,1338,480.0,240.0,120.0,150.0,2006.0874,50.407097,3.9163208,25,false
2025-03-31T13:33:43.074,13.0,17,11.498737,74.0,0,4,1.4674513,20.736555,79,1346,480.0,240.0,120.0,150.0,2425.239,50.66215,-6.6413736,25,false
2025-03-31T13:33:43.074,29.0,20,11.498737,53.0,0,4,1.2468654,21.26219,80,1037,480.0,240.0,120.0,150.0,2482.4084,50.740967,-1.193531,25,false
2025-03-31T13:33:44.074,24.0,20,11.495682,66.0,0,4,1.9382225,21.384245,72,1153,480.0,240.0,120.0,150.0,3281.054,50.573368,-9.403656,25,false
2025-03-31T13:33:44.074,4.0,18,11.4905205,72.0,0,4,1.1037953,22.372942,83,1089,480.0,240.0,120.0,150.0,2505.679,50.34263,8.23945,25,false
2025-03-31T13:33:44.074,33.0,16,11.4905205,61.0,0,4,1.101573,24.449686,68,1004,480.0,240.0,120.0,150.0,2363.8228,50.61352,7.1713486,25,false
2025-03-31T13:33:45.074,10.0,17,11.482623,65.0,0,4,1.5214374,24.342794,65,1159,480.0,240.0,120.0,150.0,3638.0896,50.554886,2.6553106,25,false
2025-03-31T13:33:45.074,10.0,20,11.482623,55.0,0,4,1.5865774,20.811996,91,1313,480.0,240.0,120.0,150.0,3567.6743,50.675034,4.973543,25,false
2025-03-31T13:33:45.074,31.0,20,11.475052,64.0,0,4,1.9088948,22.229122,59,1293,480.0,240.0,120.0,150.0,2859.6519,50.560627,2.0696487,25,false
2025-03-31T13:33:46.074,10.0,13,11.475052,55.0,0,4,1.1137869,20.914305,79,1146,480.0,240.0,120.0,150.0,2775.9878,50.705486,-1.474987,25,false
2025-03-31T13:33:46.074,10.0,17,11.470084,75.0,0,4,1.8732266,20.52802,85,1060,480.0,240.0,120.0,150.0,2538.2341,50.718807,0.18745327,25,false
2025-03-31T13:33:46.074,38.0,12,11.470084,60.0,0,4,1.4392608,20.693739,69,1070,480.0,240.0,120.0,150.0,3475.7449,50.69414,-9.499821,25,false
